id,user_id,doubt_id,created_at,activity_type,user_type
2196958,337443,252928,2020-01-08 20:06:22 UTC,resolve,Student
2196964,333441,249985,2020-01-08 20:16:02 UTC,resolve,Student
2197004,351872,252105,2020-01-08 20:51:06 UTC,resolve,Student
2197022,267008,252569,2020-01-08 21:10:40 UTC,resolve,Student
2197026,36560,252515,2020-01-08 21:12:04 UTC,resolve,Student
2197056,461133,253087,2020-01-08 22:11:11 UTC,resolve,Student
2197091,424808,252819,2020-01-08 23:21:26 UTC,resolve,Student
2197100,295664,252797,2020-01-08 23:51:16 UTC,resolve,Student
2197109,134,248660,2020-01-09 01:00:44 UTC,resolve,Student
2197147,388762,253041,2020-01-09 01:57:59 UTC,resolve,Student
2197160,386097,252720,2020-01-09 02:40:05 UTC,resolve,Student
2197201,406475,253191,2020-01-09 03:38:18 UTC,resolve,Student
2197226,485069,251661,2020-01-09 03:47:40 UTC,resolve,Student
2197299,461865,252636,2020-01-09 04:25:42 UTC,resolve,Student
2197353,77360,252766,2020-01-09 04:44:58 UTC,resolve,Student
2197495,320895,251282,2020-01-09 05:08:18 UTC,resolve,Student
2197530,421068,253090,2020-01-09 05:21:30 UTC,resolve,Student
2197564,318980,253078,2020-01-09 05:24:14 UTC,resolve,Student
2197668,450500,253013,2020-01-09 05:45:15 UTC,resolve,Student
2197681,129846,252313,2020-01-09 05:47:01 UTC,resolve,Student
2197746,344179,253097,2020-01-09 05:56:56 UTC,resolve,Student
2197767,270139,250818,2020-01-09 06:02:46 UTC,resolve,Student
2197777,486909,252871,2020-01-09 06:03:39 UTC,resolve,Student
2197840,122236,252853,2020-01-09 06:21:01 UTC,resolve,Student
2197861,147959,253101,2020-01-09 06:22:17 UTC,resolve,Student
2197959,158230,251891,2020-01-09 06:40:23 UTC,resolve,Student
2198103,145082,253189,2020-01-09 07:00:59 UTC,resolve,Student
2198165,279707,252823,2020-01-09 07:11:54 UTC,resolve,Student
2198393,173420,252350,2020-01-09 07:46:04 UTC,resolve,Student
2198402,181954,250097,2020-01-09 07:49:49 UTC,resolve,Student
2198422,75793,253017,2020-01-09 07:52:45 UTC,resolve,Student
2198442,173351,252571,2020-01-09 08:03:21 UTC,resolve,Student
2198454,461302,251166,2020-01-09 08:09:38 UTC,resolve,Student
2198798,189134,252926,2020-01-09 09:42:51 UTC,resolve,Student
2198819,359172,251132,2020-01-09 09:49:57 UTC,resolve,Student
2198864,486498,251613,2020-01-09 10:01:05 UTC,resolve,Student
2198884,206595,253136,2020-01-09 10:10:29 UTC,resolve,Student
2198998,221376,252395,2020-01-09 10:39:43 UTC,resolve,Student
2199164,279140,250917,2020-01-09 11:10:52 UTC,resolve,Student
2199195,500480,253149,2020-01-09 11:14:45 UTC,resolve,Student
2199206,61496,252603,2020-01-09 11:17:02 UTC,resolve,Student
2199210,40172,252722,2020-01-09 11:17:15 UTC,resolve,Student
2199211,53966,252386,2020-01-09 11:17:34 UTC,resolve,Student
2199228,162283,252802,2020-01-09 11:20:53 UTC,resolve,Student
2199236,52793,252287,2020-01-09 11:23:12 UTC,resolve,Student
2199271,162283,252272,2020-01-09 11:28:52 UTC,resolve,Student
2199444,237375,250525,2020-01-09 11:46:29 UTC,resolve,Student
2199494,412115,252734,2020-01-09 11:53:13 UTC,resolve,Student
2199506,460821,253125,2020-01-09 11:53:53 UTC,resolve,Student
2199530,192132,249574,2020-01-09 11:56:18 UTC,resolve,Student
2199665,344648,252440,2020-01-09 12:06:58 UTC,resolve,Student
2199717,474526,253004,2020-01-09 12:12:04 UTC,resolve,Student
2199766,474526,253048,2020-01-09 12:15:38 UTC,resolve,Student
2199785,285354,252115,2020-01-09 12:16:37 UTC,resolve,Student
2199916,376119,252593,2020-01-09 12:25:50 UTC,resolve,Student
2200006,474526,253040,2020-01-09 12:33:05 UTC,resolve,Student
2200234,53965,252933,2020-01-09 12:46:29 UTC,resolve,Student
2200263,343052,249727,2020-01-09 12:49:06 UTC,resolve,Student
2200273,343052,251779,2020-01-09 12:50:03 UTC,resolve,Student
2200362,228563,250893,2020-01-09 12:55:27 UTC,resolve,Student
2200369,127764,252454,2020-01-09 12:55:53 UTC,resolve,Student
2200382,127764,252512,2020-01-09 12:56:17 UTC,resolve,Student
2200388,391103,252444,2020-01-09 12:56:27 UTC,resolve,Student
2200404,228563,249469,2020-01-09 12:57:47 UTC,resolve,Student
2200411,315459,253153,2020-01-09 12:58:24 UTC,resolve,Student
2200463,399292,252166,2020-01-09 13:03:19 UTC,resolve,Student
2200500,228563,251536,2020-01-09 13:06:48 UTC,resolve,Student
2200546,454009,252658,2020-01-09 13:09:55 UTC,resolve,Student
